,ward,Ward Name,Ward Classification,Assembly Constituency,Zone (CE),total,students,singles,ITfamilies,SITfamilies,NonITfamily,retired,seniors
119,67,NAGAPURA,Inner,Mahalakshmi Layout,West,31918,5.028510558,7.055579924,32.42997682,20.77197819,12.55091171,5.135033523,17.02800927
128,68,MAHALAKSHMI PURAM,Inner,Mahalakshmi Layout,West,39394,5.295222623,8.564756054,39.44001625,20.58942986,10.78082957,4.180839722,11.14890592
127,69,LAGGERE,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,47832,6.708897809,10.74385349,47.99297541,18.84303395,7.595333668,2.441879913,5.674025757
142,70,RAJGOPAL NAGAR,Outer,Dasarahalli,Dasarahalli,44706,6.178141636,10.6719456,49.10526551,20.02639467,7.041560417,2.194336331,4.782355836
143,71, HEGGANAHALLI,Outer,Dasarahalli,Dasarahalli,54586,7.309566556,12.01773348,48.25229912,18.78137251,6.866229436,2.148902649,4.623896237
144,72,Herohalli,Outer,Yeshwanthpur,Rajarajeshwari Nagara,56902,6.193103933,10.88186707,44.32181646,19.61090999,8.646444765,3.028013075,7.317844715
145,73,KOTTIGEPALYA,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,60061,6.350210619,10.48101097,42.85476432,19.46521037,9.154026739,3.464810776,8.229966201
146,74,SHAKTHI GANAPATHI NAGAR,Inner,Mahalakshmi Layout,West,41358,5.106629914,8.767348518,42.95904057,19.98645969,9.398423521,3.578509599,10.20358818
147,75, SHANKARMUTT,Inner,Mahalakshmi Layout,West,37104,5.263583441,8.276735662,39.42701596,20.50452781,10.29538594,3.980702889,12.2520483
148,76,GAYATHRINAGAR,Inner,Malleshwaram,West,26419,5.537681214,7.839055225,33.21094667,20.71615125,12.97172489,4.943411938,14.78102881
149,77,DATTATREYA TEMPLE,Inner,Gandhinagar,West,29528,4.964779193,7.003522081,34.93633162,21.95204552,12.3306692,5.046057979,13.76659442
150,78,Pulikeshinagar,Inner,Pulakeshinagar,East,22812,5.795195511,7.342626688,32.57057689,20.20866211,12.88357005,5.304225846,15.89514291
151,79,SARVAGNANAGAR,Inner,C V Raman Nagar,East,31395,7.682752031,8.714763497,37.51234273,21.86972448,10.5112279,3.621595796,10.08759357
181,80,HOYSALANAGAR,Inner,C V Raman Nagar,East,29683,5.019708251,7.020853687,33.35579288,21.33544453,12.23595998,4.986018933,16.04622174
180,81,VIJNANANAGAR,Outer,K R Puram,Mahadevpura ,48445,5.53823924,8.011146661,43.88068944,20.24563938,9.321911446,3.855919083,9.146454742
183,82,GARUDACHARPALYA,Outer,Mahadevapura,Mahadevpura ,35056,5.368553172,9.019853948,49.42092652,19.47740758,7.342537654,2.741328161,6.629392971
182,83,KADUGODI,Outer,Mahadevapura,Mahadevpura ,34881,6.026203377,10.10865514,46.95966285,18.14168172,7.995757002,3.170780654,7.597259253
177,84,HAGADURU,Outer,Mahadevapura,Mahadevpura ,41892,6.519144467,10.39816671,44.9632388,18.414017,8.287978612,3.246443235,8.171011172
176,85,DODDANEKUNDI,Outer,Mahadevapura,Mahadevpura ,51947,4.76639652,7.819508345,48.53600785,19.34856681,7.190020598,3.128188346,9.211311529
179,86,MARATHALLI,Outer,Mahadevapura,Mahadevpura ,27929,6.05105804,10.07554871,45.22539296,19.54241111,8.911883705,2.882308711,7.311396756
178,87,HAL AIRPORT,Outer,K R Puram,Mahadevpura ,35150,4.284495021,7.584637269,44.46657183,22.97012802,9.473684211,3.243243243,7.977240398
175,88,JEEVAN BIMA NAGAR,Inner,C V Raman Nagar,East,34588,6.132184573,9.055163641,37.8628426,20.92055048,10.79565167,4.033190702,11.20041633
174,89,Jogupalya,Inner,Shanthinagar,East,25248,5.814321926,8.190747782,34.28390368,21.9542142,12.25047529,4.713244613,12.79309252
15,90,Ulsoor,Inner,Shivajinagar,East,26982,4.447409384,7.712549107,35.34207991,21.56993551,12.30079312,5.073752872,13.5534801
16,91,Bharati Nagar,Inner,Shivajinagar,East,29044,4.438093926,8.58352844,35.78708167,21.91502548,12.58091172,4.651563146,12.04379562
13,92,Shivajinagar,Inner,Shivajinagar,East,31628,5.454028076,9.646515746,39.42076641,21.74971544,10.71518907,3.901606172,9.112179082
14,93,Vasanthanagar,Inner,Shivajinagar,East,19799,4.591140967,6.207384211,30.50659124,20.36466488,13.7734229,6.389211576,18.16758422
11,94, GANDHINAGAR,Inner,Gandhinagar,West,26373,5.444962651,8.561786676,36.95825276,20.18352103,11.66723543,4.709361847,12.47487961
12,95,SUBHASHNAGAR,Inner,Gandhinagar,West,29940,6.105544422,8.914495658,39.36539746,21.27254509,11.05878424,3.800935204,9.482297929
9,96,OKALIPURAM,Inner,Gandhinagar,West,33214,4.723911604,8.216414765,40.50099356,21.62943337,10.93514783,4.085626543,9.908472331
10,97,DAYANANDANAGAR,Inner,Rajajinagar,West,28544,5.612387892,7.844030269,37.78026906,21.70683857,11.69422646,3.979820628,11.38242713
7,98,PRAKASHNAGAR,Inner,Rajajinagar,West,28260,5.247699929,8.021939137,37.38853503,22.63623496,11.65605096,4.221514508,10.82802548
8,99,RAJAJINAGAR,Inner,Rajajinagar,West,29273,5.031940696,8.20892973,38.11020394,20.79048953,11.43032829,4.577597103,11.85051071
135,100,BASAVESHWARANAGARA,Inner,Rajajinagar,West,28744,5.086278876,6.84316727,36.81116059,21.3296688,11.09796827,4.519204008,14.31255218
136,101,KAMASHIPLAYA,Inner,Rajajinagar,West,24738,5.699733204,7.987711214,37.994179,20.10671841,10.28781631,4.612337295,13.31150457
137,102,VRISHABHAVATHI NAGAR,Inner,Mahalakshmi Layout,West,42385,5.777987496,9.887932051,45.94078094,19.70272502,8.382682553,2.970390468,7.337501475
138,103,KAVERIPURA,Inner,Govindarajanagar,West,48183,6.514745865,10.7610568,44.30815848,19.36160056,8.430359255,2.843326484,7.780752548
131,104,GOVINDARAJ NAGAR,Inner,Govindarajanagar,West,24977,5.424990992,7.695079473,37.91488169,20.48284422,10.99811827,4.652280098,12.83180526
132,105,AGRAHARA DASARAHALLI,Inner,Govindarajanagar,West,25094,5.092850881,9.002151909,38.50721288,20.51087909,10.79540926,4.12449191,11.96700406
133,106,DR RAJKUMAR WARD,Inner,Govindarajanagar,West,17234,4.932110943,7.873970059,36.50342347,22.50783335,12.01114077,4.346060114,11.8254613
134,107,SHIVANAGAR,Inner,Rajajinagar,West,30148,5.035159878,7.496351333,37.32917606,20.5453098,12.16664455,4.544248375,12.88310999
129,108,SRIRAMA MANDIRA,Inner,Rajajinagar,West,26862,5.491028218,7.8549624,33.08391036,20.92919366,13.2231405,5.115032388,14.30273248
130,109,Chikpet,Inner,Gandhinagar,West,26784,5.499551971,7.926373955,36.64127838,21.72192354,12.2983871,4.588560335,11.32392473
51,110,Sampangiramanagar,Inner,Shivajinagar,East,24531,5.731523379,7.614854674,35.22889405,21.2710448,12.30687701,4.704251763,13.14255432
50,111,Shantala Nagar,Inner,Shanthinagar,East,21257,5.19358329,8.34078186,32.27642659,20.67554217,12.7064026,4.868984335,15.93827916
100,112,Domlur,Inner,Shanthinagar,East,25979,5.850879557,8.695484815,34.07752415,19.45417453,12.44851611,5.208052658,14.26536818
99,113,KONENA AGRAHARA,Inner,C V Raman Nagar,East,25271,5.413319615,8.088322583,40.00237426,19.79739622,10.07083218,4.269716276,12.35803886
106,114,Agaram,Inner,Shanthinagar,East,22866,5.991428322,9.14895478,34.67156477,23.85638065,12.56450625,4.137146856,9.630018368
105,115,Vannarpet,Inner,Shanthinagar,East,30961,6.298246181,9.599173153,36.76883822,22.50250315,11.28839508,3.930751591,9.612092633
104,116,Neelasandra,Inner,Shanthinagar,East,39027,7.73054552,11.63297204,42.89081918,19.83498604,8.78878725,2.903118354,6.21877162
103,117,Shantinagar,Inner,Shanthinagar,East,35392,5.857255877,9.033114828,38.05379747,21.16014919,10.86686257,3.966998192,11.06182188
69,118,SUDHAMANAGAR,Inner,Chikpet,South,25262,4.940226427,8.534557834,43.87221914,21.11471776,9.797324044,3.226189534,8.51476526
140,119,DHARMARAYA SWAMY TEMPLE,Inner,Chikpet,South,25473,5.075962784,8.581635457,40.69406823,20.91626428,11.27860872,3.81580497,9.637655557
76,120,COTTONPET,Inner,Gandhinagar,West,31966,6.156541325,8.83751486,38.45648502,21.77313395,11.28699243,3.885378214,9.603954201
77,121,BINNYPET,Inner,Gandhinagar,West,32019,4.253724351,7.098910022,40.28545551,22.667791,11.24644742,4.041350448,10.40632125
74,122,KEMPAPURA AGRAHARA,Inner,Vijayanagara,South,31940,6.239824671,8.901064496,41.94740138,21.08328115,9.783969944,3.353162179,8.69129618
75,123,VIJAYANAGAR,Inner,Vijayanagara,South,36306,6.120200518,8.640445105,37.25004132,20.96623148,11.02297141,4.19765328,11.80245689
72,124, HOSAHALLI,Inner,Vijayanagara,South,35104,5.4523701,8.474817685,38.57395169,20.84947584,11.0357794,4.213195077,11.40041021
73,125,MARENAHALLI,Inner,Govindarajanagar,West,21007,4.203360785,6.507354691,35.74046746,20.00285619,11.40096158,5.012614843,17.13238444
86,126,MARUTHI TEMPLE,Inner,Govindarajanagar,West,26652,4.063484917,7.113912652,39.16028816,19.98349092,10.91850518,5.200360198,13.55995798
87,127,MOODALAPALYA,Inner,Govindarajanagar,West,38966,5.515064415,8.848739927,42.17266335,20.31771288,10.13960889,3.741723554,9.264486989
117,128,NAGARABHAVI,Outer,Govindarajanagar,West,34147,4.070635781,7.423785398,41.12220693,20.18039652,10.88236155,4.782264913,11.5383489
118,129,JNANABHARATHI,Outer,Rajarajeshwari Nagar,Rajarajeshwari Nagara,57704,6.20061001,9.267988354,40.64016359,20.36253986,10.2037987,4.185151809,9.139747678
141,130,Ullal,Outer,Yeshwanthpur,Rajarajeshwari Nagara,52249,7.255641256,10.12459569,41.0859538,19.65396467,9.261421271,3.71107581,8.907347509
139,131,NAYANDAHALLI,Outer,Govindarajanagar,West,30411,5.586794252,9.299266713,45.80579396,21.18641281,8.842195258,2.834500674,6.445036336
60,132,ATTIGUPPE,Inner,Vijayanagara,South,36513,6.208747569,8.561334319,39.09292581,18.61528771,10.67017227,4.598362227,12.2531701
59,133,HAMPINAGAR,Inner,Vijayanagara,South,33723,4.872045785,7.190937936,39.36779053,20.0990422,10.37867331,4.48951754,13.60199271
